	Query	UserId	ChatsNum	BotAnswersNum	HelpsNum	Date	QueryLen
21	Справочник «Отчетность за 9 месяцев и III квартал 2023 года»	8707724	1	1	1	2023-10-09	10
22	максимальное удержание по алиментам	946820	1	1	1	2023-10-09	4
23	Добрый день! Физлицо занимало ООО займ . Может ли организация снять деньги с расчетного счет и вернуть ему наличными займ?	2481069	1	0	0	2023-10-09	19
24	добрый день	3225052	1	1	1	2023-10-09	2
25	Здравствуйте, работаю по основному месту работы и по совместительству с августа 2023г. Была на больничном в октябре 2023г, как правильно посчитать средний заработок для выплаты больничного? Второй работодатель должен оплатить больничный или нет?	139222	1	0	0	2023-10-09	33
26	В этом справочнике нет информации по трем дням . За счет какого работодателя идут в оплату 3 дня или оплачивает каждый?	1996493	1	0	0	2023-10-09	20
27	Добрый день . Подскажите , какой лимит доходов по УСН доходы на 2023г в пределах 6%?	14381864	1	0	0	2023-10-09	14
28	Доброе утро. Если не подали уведомление по налогу на имущество и не уплатили авансовый платеж, какие штрафные санкции?	3623059	1	0	0	2023-10-09	18
29	сотрудник работал в ООО по основному месту работы, был переведен на основное место работы в другую организацию, а на прежнем месте трудоустроен на 0,5 ставки по внешнему совместительству. По прежнему месту работы отправлен в командировку. Как рассчитать среднедневной заработок для начисления зарплаты за дни командировки, а именно включается ли в средний заработок доход за период, когда сотрудник работал в прежней организации на полной ставке.	4004194	1	0	0	2023-10-09	65
30	Добрый день, подскажите, пожалуйста, справки ЭСМ-7 обязательно заполнять или можно о,ойтись без их оформления?	17131135	1	0	0	2023-10-09	16
31	Вопрос к экспертам. Добрый день, подскажите пожалуйста в пределах какой суммы можно выдать без процентный займ сотруднику на личные цели или надо указывать в заявлении конкретную цель на что выдается займ.	554490	1	0	0	2023-10-09	31
32	добрый день. Вы не ответили на мой вопрос. Я писала, что предприятие на УСН (доходы), при чем тут НДС?	12402916	1	0	0	2023-10-09	19
33	В 2021 году мы делали переоценку основных средств в 2022 году не начисляем, должны ли мы скорректировать начисленную переоценку на нераспределенную прибыль?	415512	1	0	0	2023-10-09	22
34	Добрый день, подскажите, пжл если услуги оказываются по договору публичной оферты, в счет фактуре можно прописывать договор публичной оферты и какую дату ставить?	2783293	1	0	0	2023-10-09	23
35	Добрый день, подскажите пожалуйста какой ставить статус плательщика в платежном поручении стр 101, если перевод средств производится бюджетному предприятию?	18768084	1	0	0	2023-10-09	19
36	можно ли составить бух. справку если акт о передаче прав еще не получен?	8677835	1	0	0	2023-10-09	13
37	добрый день,если в упд человек подписывает по приказы упд кто должен стоять в строчках где руководитель и главный бухгалтеро	20107072	1	0	0	2023-10-09	20
38	Добрый день. Какие обязательные документы прилагаются к акту на оказание услуг автокранов и другой спецтехники? Спасибо	7049567	1	0	0	2023-10-09	16
39	Что такое сделать доплату до МРОТ? Покажите на примере на суммированном учете рабочего времени.	217576	1	0	0	2023-10-09	14
40	Доброе утро!	6716203	1	1	0	2023-10-09	2
41	Добрый день. ООО отправляет в командировка сотрудника, какие документы должны быть на предприятии?	259756	1	0	0	2023-10-09	13
42	на каком счеты учитывать деньги, которые даём на размен	20187802	1	0	0	2023-10-09	9
43	"Молоко цельное сгущенное с сахаром (Омск) 8,5% 22кг ""Омское"" (Bag-in-Box) коробка"	4449177	1	1	0	2023-10-09	14
44	Доброе утро. ИП на УСН заключила договор с управлением образования на оказание услуг. Есть ли ограничения по суммам договоров?	19163341	1	0	0	2023-10-09	19
45	Здравствуйте! ИП с расчетного счеты перечисляет на свою карту физлица, как провести в бухучете это, т.е. нужны проводки.	1667571	1	0	0	2023-10-09	19
46	Добрый день. Подскажите пожалуйста. Мы ООО, в Уставе зарегистрировано 5% прибыли на создание Резервного Фонда. Можно ли начислять больше без внесения изменений в Устав?	1853789	1	0	0	2023-10-09	24
47	Добрый день! С 01.10.2023 г. внесены изменения в форму счета-фактуры. Столкнулись с тем, что некоторые контрагенты утверждают, что их товар не является прослеживаемым, поэтому эти изменения их не касаются. Подскажите, пожалуйста, какие доводы об обязательности исполнения можно им привести? Или, на самом деле, изменения не для всех?	9824462	1	0	0	2023-10-09	50
48	тест	8192967	1	1	0	2023-10-09	1
49	Добрый день! На предприятии специалист по воинскому учету получает от военного комиссариата бланки специального воинского учета. Бухгалтерия выдает доверенность нва нужное кол-во. Бланки строгой отчетности может вести только специалист по воинскому учету или необходимо бухгалтерии поставить их на баланс и учитывать как бланки строгой отчетности?	15038019	1	0	0	2023-10-09	46
50	ндс у продаца при возврате товара	6125443	1	1	0	2023-10-09	6
51	Здравствуйтн!	1739316	1	0	0	2023-10-09	1
52	Добрый день!Приобрели смартфон для сотрудника стоимостью 11 тыс можно ли сразу списать	9525534	1	0	0	2023-10-09	13
53	Доброе утро, может ли самозанятый быть ликвидатором при закрытии ООО?	16051906	1	1	0	2023-10-09	10
54	Добрый день! Поступили расходомер и датчики, стоимостью выше 100 тыс. По ФСБУ 5 мы должны это классифицировать как материалы , зап.части ?	20576240	1	0	0	2023-10-09	21
55	Импорт из Казахстана с 90% предоплатой в валюте казахских тенге, приход в долларах. Как разчитать стоимость товра.	1641383	1	0	0	2023-10-09	17
56	Доброе утро! Есть два вопроса:	86502	1	0	0	2023-10-09	5
57	Добрый день! Подскажите: Если сотрудник принят на работу по договору ГПХ и арендует автомобиль для собственных нужд, который в свою очередь, организация тоже берет в аренду, то должен ли этот сотрудник проходить предрейсовый медосмотр? Организация работает на УСН 6%.	7222703	1	0	0	2023-10-09	39
58	Добрый день. Компания заказала экспертизу проектной документации (отчет) для оборудования, которое учитывается в составе ОС. Сумма затрат свыше 100 тыс.,периодичность данной услуги неизвестна. Куда отнести затраты? На расходы текущего периода? Или все же на кап.вложения? Хотя данная услуга не является ни ремонтом, ни кап. вложением, никакие характеристики ОС не меняются.	15197720	1	0	0	2023-10-09	52
59	ок	4004194	1	0	0	2023-10-09	1
60	Добрый день, сотрудник не являлся на работу всю прошлую неделю с 02.10 по 06.10.23 Сегодня 09.10.23 директор сказал уволить его за прогул. Уведомление о необходимости явиться на работу мы ему не отправляли, но узнавали через соц сети , что случилось и когда он выйдет, он написал какую то чепуху, а потом перестал отвечать. Можно ли его уволить без этого уведомления?	2714206	1	0	0	2023-10-09	64
61	Образец справки в соц. защиту работнику за последние 3 месяца	14722126	1	0	0	2023-10-09	10
62	справочник отчетность 3 кв , утро доброе	4501259	1	1	0	2023-10-09	6
63	справочник отчетности 3 квартал	1965462	1	1	1	2023-10-09	4
64	добрый день! может ли быть в подотчете перерасход?	8759693	1	1	0	2023-10-09	8
65	Тест	1858448	1	1	1	2023-10-09	1
66	спасибо	18702293	1	1	1	2023-10-09	1
67	Здравствуйте, кого нужно уведомить о смене прописки ИП?	12904354	1	0	0	2023-10-09	8
68	Спасибо	554490	1	1	1	2023-10-09	1
69	Доброе утро!	6716203	1	1	0	2023-10-09	2
70	Здравствуйте, Подскажите, пожалуйста, по заработной плате за декабрь 2022 году, которая была выплачена в 2023 году, а точнее 09.01.2023, так как по законодательству она считается доходом этого года, интересует вопрос вычетов на детей? По идее при начислении данной зп в декабре вычеты вставали в декабрь 2022 года, но так как пришлось переформировать данную за на этот год, как поступить с вычетами в январе за декабрь и январь 2023 года? вычет за декабрь будет утрачен и будет только за январь или должно быть как удвоенная сумма вычетов в двух начислениях?	15245402	1	0	0	2023-10-09	91
71	Здравствуйте. 19.09.2023 г. я задавала вопрос специалистам Минфина № 3926072, прошло 10 дней прислали уточняющие вопросы, после этого прошло ещё 10 дней и каждый день ответ переносится на более поздний срок. Этот ответ очень важен для нас и его ожидает не только мы но и Администрация города. Подскажите пожалуйста что происходит и когда мы получим ответ а свой вопрос?	8267822	1	0	0	2023-10-09	60
72	Добрый день. Подскажите, можно ли принять к бух. и налоговому учету чек в котором не прописано наименование товара?	851333	1	0	0	2023-10-09	18
73	доброе утро! был фз 9нк), что если оборот меньше 2 млн, то ндс не нужно сдавать	680118	1	0	0	2023-10-09	16
74	доброе утро	1981882	1	1	0	2023-10-09	2
75	переход на пониженную ставку по УСН предполагает переход по основному оквэд или же можно применить оквэд по доп виду деятельности по которому будет соновное движение	9525534	1	0	0	2023-10-09	25
76	Обязан ли учредитель утверждать смету расходов и доходов казенного предприятия?	13328865	1	0	0	2023-10-09	10
77	Добрый день! У сотрудника есть один исполнительный лист по алиментам на содержание ребенка в размере 50% от дохода. Сегодня пришел еще один исполнительный лист в размере 50% по долгам за ЖКХ. Каким образом нужно производить удержания из заработной платы работника по этим исполнительным листам? Спасибо.	19485624	1	0	0	2023-10-09	45
78	изменения октября	1781669	1	1	1	2023-10-09	2
79	Здравствуйте! Подскажите пожалуйста. Если на момент проведения годовой инвентаризации 09.10.2023г. по месту хранения ТМЦ согласно учётным данным не чего нет. Нужно ли оформлять документ инвентаризационная опись и подписывать членами комиссии, или нет?	15467466	1	0	0	2023-10-09	34
80	Здравствуйте. Подскажите какой КБК и ОКТМО указывать в уведомлении по НДФЛ, если организация, как налоговый агент, удержала НДФЛ с призов более 4000руб. по рекламной акции в размере 35% с физ.лица победителя, проживающего в другом регионе?	2279860	1	0	0	2023-10-09	36
81	При заполнении ЕФС-1 Раздел 2 за 9 месяцев в поле численность работающих , учитывать работников , уволенных в 1 кв. и 2 кв.	475289	1	0	0	2023-10-09	22
82	добрый день! подскажите льготы по усн доходы минус расходы в ставрополе?	9019042	1	0	0	2023-10-09	11
83	Добрый день, интирисует вопрос по налогу на имущество,	16514632	1	1	0	2023-10-09	8
84	изменения в октябре	1716040	1	1	1	2023-10-09	3
85	отчетность за 9 месяцев	20292482	1	1	1	2023-10-09	4
86	Здравствуйте. Подскажите, как заверить копию трудовой?	14760278	1	0	0	2023-10-09	6
87	Добрый день! Подскажите, могут ли возникнуть вопросы у налоговой по поводу использования в работе системы Главбух для упрощенки, если наша организация находится на общей системе налогообложения. Можем ли мы расходы на систему включить в расходы по прибыли.	6933712	1	0	0	2023-10-09	37
88	Здравствуйте. Подскажите пожалуйста,есть ли положение об труде,где сотрудник имеет право на перерывы в течении рабочего времени?	19820920	1	0	0	2023-10-09	18
89	уведомление енп	3637516	1	1	1	2023-10-09	2
90	спасибо	8192967	1	1	1	2023-10-09	1
91	"Здравствуйте. Сегодня закончила обучение по программе ""Учет основных средств в крупном бизнесе: правила по ФСБУ и МСФО"". Выбирая данную программу, я прочитала название итогового документа - Удостоверение. В результате мне выдают Сертификат. Мне необходим документ, где будет прописано, что я прошла повышение квалификации 50 часов. Я понимаю, что это как раз и должно быть Удостоверение о повышении квалификации. Поясните, пожалуйста, в каких программах именно повышение квалификации?"	12401223	1	0	0	2023-10-09	65
92	Добрый день! Обязательно ли сдавать промежуточные уведомления с 01.10.2023?	2316402	1	0	0	2023-10-09	11
93	Добрый день, если работник идет в отпуск на 20 дней, у него еще неиспользовано 32 дня, если работодатель оплатит компенсацию за неиспользованный отпуск за эти 32 дня (при этом работник не увольняется). То эти 32 дня сгорят, или же в любом случае их нужно отгулять, хотя компенсация будет выплачена.	18413984	1	0	0	2023-10-09	49
94	Здравствуйте,можно ли принять завтпаки ,если они выделены в чеке	16160608	1	0	0	2023-10-09	10
95	Добрый день, наша организация ресурсоснабжающая, на общем режиме налогообложении, входит ли начисленная пени за несвоевременную оплату в доходы (налогооблагаемую базу) по налогу на прибыль?	11246808	1	0	0	2023-10-09	24
96	как в бух учете отразить обратный экваринг для физ лиц	20625376	1	0	0	2023-10-09	10
97	Добрый день, сотрудник не предоставил сведения о среднем заработке за 2021,2022 год, в 2023 году заболел, какие сведения подать в сфр?	1657828	1	0	0	2023-10-09	22
98	Доброе утро	5093457	1	1	1	2023-10-09	2
99	спецодежда на складе от долгого хранения пришла в негодность. Можем ли мы ее списать? как отразить в БУ и НУ данную операцию?	17954724	1	0	0	2023-10-09	22
100	справочник отчетности за 9 месяцев	8832044	1	1	1	2023-10-09	5
101	Здравствуйте, дата смерти сотрудника выпала на выходной. Каким числом делать приказ об увольнении?	5892145	1	1	0	2023-10-09	13
102	добрый день	4188409	1	1	0	2023-10-09	2
103	Добрый день! В каких случаях ООО или ИП обязано держать в штате бухгалтера или главного бухгалтера? Может ли директор ООО и ИП самостоятельно вести бухучет?	18350837	1	0	0	2023-10-09	25
104	Здравствуйте! Если нашли ошибки в сумме в уведомлениях в старых месяцах по ндфл, нужно ли сдать корр уведомление по всем месяцам или можно скорректировать только в уведомлении за сентябрь?	4598694	1	0	0	2023-10-09	29
105	доброе утро. пожалуйста, направьте мне форму заявление о возврате переплаты по налогу на имущество для физ лица	1568106	1	0	0	2023-10-09	17
106	Добрый день! Собираемся заключить договор на поставку товаров с Гонконгом? Есть ли какие-то подводные камни у такой сделки из-за того, что это офшорная зона?	19057380	1	0	0	2023-10-09	26
107	Добрый день !	1952636	1	1	0	2023-10-09	2
108	"здравсвуйте, уважаемые консультаны-помощники. имею вопрос: платёжка за НДФЛ (вместо уведомления), поле 101, всегда заполняла 02. вчера ""Актион"" по э/очте напугал каким-то письмом от Минфина (не успела зафиксиловать) о том, что поле 101 теперь нужно заполнять иначе. подскажите, пожалуйста, что нам должно быть?"	906339	1	0	0	2023-10-09	45
109	изменения за октябрь	413039	1	1	1	2023-10-09	3
110	Добрый день	11416803	1	1	1	2023-10-09	2
111	спасибо	20086004	1	1	1	2023-10-09	1
112	Добрый день! Подскажите, все работники питаются в столовой, обязательно включать стоимость обедов в доход и облагать НДФЛ?	13476958	1	0	0	2023-10-09	17
113	Добрый день	7115063	1	0	0	2023-10-09	2
114	Добрый день. Сотруднику ООО юбилей 75 лет. Руководитель решил поздравить его через объявление в газете. Как можно учесть расходы в БУ и в НУ. Проводки.	8434164	1	0	0	2023-10-09	25
115	Здравствуйте!	2590105	1	1	0	2023-10-09	1
116	Спасибо большое!	15245402	1	1	1	2023-10-09	2
117	Доброе утро! ООО на УСН (доходы - расходы). Деятельность: договор с собственником ТРК на содержание, обслуживание и техническое обслуживание ТРК и при этом у собственника арендует часть помещений для сдачи в субаренду и другую часть помещений ТРК собственник сам сдает в аренду. Появилась необходимость создать (купить) программу (сайт) для взаимодействия между арендаторами ТРК и субарендаторов ТРК организацией обслуживавшей ТРК (нашей) и организаций которая Охраняет ТРК. Эта программа (можно сказать электронный документооборот) нам как обслуживавшей организации ТРК нужна для рассмотрения зая	6737680	1	0	0	2023-10-09	79
118	Добрый день! Можно ли пересдать баланс за 2020,2021,2022 одним отчетом за 2022 год или нужно за каждый год отдельно формировать формировать и сдавать баланс?	5415611	1	0	0	2023-10-09	26
119	добрый день , у вас есть вэбинар по воинскому учету	2077021	1	0	0	2023-10-09	9
120	Доброе утро. Индивидуальный предприниматель продает оборудование за наличный расчет, поэтому в кассе собирается выручка, которая тратиться на зар. плату и под.отчет сотрудникам, Оставшуюся часть из кассы выдаем по расходному ордеру , как предпринимательский доход Индивидуальному предпринимателю. Можно ли выдавать предпринимательский доход сразу из кассы не сдавая выручку в банк.	2615177	1	0	0	2023-10-09	49
121	"Добрый день! подскажите пожалуйста как правильно написать приказ 
«О назначении надбавки за выслугу лет"""	1638521	1	0	0	2023-10-09	14
122	Добрый день. Каким документом выставляется неустойка контрагенту?	1572559	1	0	0	2023-10-09	7
123	добрый день. оплату госпошлины за предоставление(продление) органами государственной власти субъектов Российской Федерации лицензий на розничную продажу алкогольной продукци можно списать единоразово в расходы в бухг и налоговом учетн?	7524109	1	0	0	2023-10-09	29
124	Добрый день! Подскажите, пожалуйста, в какой срок должны уволить умершего сотрудника (свидетельство о смерти на данный момент отсутствует)?	17012761	1	0	0	2023-10-09	18
125	Как доплатить до мрот на конкретном примере при суммированном учете если есть расхождения?	217576	1	1	0	2023-10-09	13
126	Добрый день! 6 - НДФЛ за 9 мес. какие суммы за какой период должны попасть в строку 110 раздел 2.	2264476	1	0	0	2023-10-09	19
127	очень жаль	13328865	1	0	0	2023-10-09	2
128	СВЕРКА	393079	1	1	1	2023-10-09	1
129	изменения октября	10944503	1	1	1	2023-10-09	2
130	изменения октября	20669258	1	1	1	2023-10-09	2
131	Изменения сентября?	20947856	1	1	0	2023-10-09	2
132	Здравствуйте, нужно ли при уврльнении сотрудника если у него 2,33 дня неиспользованного отпуска округлять их до 3 дней?	3170826	1	0	0	2023-10-09	19
133	Добрый день, подскажите пожалуйста, где можно найти информацию по ведению воинского учета когда сотрудники работают вахтовом методе.	184018	1	0	0	2023-10-09	17
134	справочник отчетности за 9 месяцев	18730912	1	1	1	2023-10-09	5
135	Добрый день. Как отразить в бухгалтерии услугу стоматолдогии, пациент рассчитался по QR коду	9692306	1	0	0	2023-10-09	13
136	Доброе утро!	630400	1	1	0	2023-10-09	2
137	справочник	18459763	1	0	0	2023-10-09	1
138	Добрый день!	4280477	1	1	0	2023-10-09	2
139	С директором заключили договор займа с процентами. 30 июля выплатили , Начислили проценты, удержали НДФЛ. Сумму начисленных процентов в отчете 6-НДФЛ где указать?. строка 112 Раздел 2 ?	1759016	1	0	0	2023-10-09	27
140	справочник	3170730	1	0	0	2023-10-09	1
141	Добрый день! Подскажите, пожалуйста, как понимать этот текст.	2507379	1	0	0	2023-10-09	8
142	изменения сентября	20941426	1	1	1	2023-10-09	2
143	Добрый день. Мы импортеры, возим товар из Китая в Россию (Новосибирск). Планируем заключить договор на полный комплекс оказания услуг: транспортно-экспедиторское обслуживание (морфрахт, страхование, ЖД организация отправки с Владивостока до Новосибирска, автотранспортные услуги Новосибирск) с белорусской компанией (г. Минск). Расскажите, какие особенности есть в налогообложении таких услуг, если с поставщиком услуг, зарегистрированным в Белоруссии: 1. если заключен договор ТЭУ; 2. заключен агентский договор?	2525420	1	0	0	2023-10-09	63
144	нам нужно для физ лиц	20625376	1	0	0	2023-10-09	5
145	изменения 2023	3052785	1	1	1	2023-10-09	2
146	Доброе утро!	3977819	1	1	0	2023-10-09	2
147	доброе утро! можно узнать, когда будет ответ на вопрос №28137516?	607427	1	0	0	2023-10-09	10
148	"Приказ Минздрава России от 07.09.2020 N 946 ""Об утверждении инструкции об организации служебных проверок в Министерстве здравоохранения Российской Федерации"" с инструкцией"	2880220	1	0	0	2023-10-09	23
149	Добрый день! Изменения в октябре 2023	1801043	1	1	0	2023-10-09	6
150	доброе утро может ли другая организация выдать заплату сотрудникам в счет погашения долга	15091631	1	0	0	2023-10-09	13
151	изменения в 2023	20867276	1	1	1	2023-10-09	3
152	Добрый день. Подскажите, что делать - у меня перепутали вопросы письменно.	12489315	1	0	0	2023-10-09	10
153	А если это один и тот же работодатель?	3116026	1	0	0	2023-10-09	8
154	jnxtnyjcnm	15549503	1	0	0	2023-10-09	1
155	изменения в 2023 году	4148750	1	1	0	2023-10-09	4
156	Как может распоряжаться предприятие МУП имуществом которое передано в хозяйственное ведение?	16051906	1	0	0	2023-10-09	11
157	Здравствуйте.	9057783	1	1	1	2023-10-09	1
158	Добрый день, за нашего заказчика задолженность нам оплатила другая организация.. Какие документы нам нужно получить от заказчика и третьего лица производившего оплату, что бы произвести зачет?	18538249	1	0	0	2023-10-09	26
159	Можно ли расходы на перелет, гостиницу частного предпринимателя поставить в расходы по УСН	11968398	1	1	0	2023-10-09	13
160	Как правильно перейти на пониженную ставку по УСН применяемую к оквэд по РС(Якутия)?Необходимо ли подавать заЯвление ?	9525534	1	0	0	2023-10-09	18
161	Добрый день! Подскажите пожалуйста, в 2020 году для МСП пострадавших от короновинусной инфекции были введены пониженные ставки страховых взносов за 2020г в размере 0% согласно ФЗ№172 от 08.06.2020, распространялась ли эта лльгота на взносы от несчастных случаев на производстве?	17973484	1	0	0	2023-10-09	42
162	Добрый день, помогите разобраться в вопросе: предприниматель в течение года находился на ПСН. В декабре доходы превысили лимит, если брать выручку за весь год. Но патент взят на три месяца (октябрь, ноябрь, декабрь). Если налоговый период для плательщиков патента считается срок на какой выдан патент в праве ли ФНС считать доход за весь календарный год?	6308746	1	0	0	2023-10-09	55
163	Добрый день ! По состоянию на какое число проводить инвентаризацию ?	3836908	1	0	0	2023-10-09	9
164	изменение октября	12188215	1	1	1	2023-10-09	2
165	Правомерно ли налоговая отозвала регистрацию Заявления о ввозе товаров и уплате косвенных налогов, предоставленного 04.10.2023 года за сентябрь 2023 года, в связи с невозможностью в проставлении отметки о подтверждении уплаты косвенных налогов на Заявлении налоговым органом до наступления срока уплаты косвенных налогов (20-е число) по причине истечения 10-ти дневного срока для проверки Заявления и соответствующих документов.	2069159	1	0	0	2023-10-09	60
166	Доброе утро	527002	1	1	0	2023-10-09	2
167	изменения октябрь 2023	2358589	1	1	1	2023-10-09	3
168	ОСНО	17954724	1	0	0	2023-10-09	1
169	Добрый день! Между юридическими лицами заключен экспортный контракт на экспорт продукции в Туркменистан. По условиям контракта плательщиками могут быть третьи лица, в т.ч. физические лица. Оплата за Туркменскую фирму поступила на расчетный счет российской организации от физ лица нерезидента гражданина Туркменистана . Должна ли российская компания пробивать по кассе данное поступление денежных средств на расчетный счет?	3272705	1	0	0	2023-10-09	56
170	Здравствуйте	2394205	1	1	1	2023-10-09	1
171	тест	3983170	1	1	1	2023-10-09	1
172	изменени я 2023	6220619	1	0	0	2023-10-09	3
173	Здравствуйте! ТСЖ на УСН Доходы, оплачивает страховые взносы за председателя, который работает по ГПД. Можно ли уменьшать УСН на сумму уплаченных взносов по ГПД:?	1881318	1	0	0	2023-10-09	24
174	Доброе утро! Предприниматель сдает в аренду недвижимость. С 01.01. по 31.06 взял патент, еще применяет УСН, доход за полугодие составил 55 миллионов, с 01.07 применяет только УСН. За весь год доход составляет 80 миллионов. Должен ли он пересчитать за весь год доход по УСН?	771050	1	0	0	2023-10-09	47
175	Доброе утро! Подскажите, как правильно перевести денежные средства при реорганизации в форме присоединения, из реорганизуемой компании в ту к которой присоединяемся?	18609209	1	0	0	2023-10-09	21
176	"Добрый день!
При переходе на новый ФСБУ 25/2018 в 2022 году была допущена ошибка при корректировке показателей. Как исправить ошибку в проводке со счетом 84 счет?"	11799660	1	0	0	2023-10-09	27
